Tevékenység típusa,Dátum,Kedvenc,Cím,Távolság,Kalóriaszám,Idő,Átlagos pulzusszám,Max. pulzus,Átl. pedálütem,Max. pedálütem,Átlagos tempó,Legjobb tempó,Teljes emelkedés,Teljes süllyedés,Átlagos lépéshossz,Átl. pedálütem,Max. pedálütem,Training Stress Score®,Teljes csapásszám,Lépések,Összes ismétlés,Összes szett,Dekompressziós,Legjobb köridő,Körök száma,Ált. légzés,Min. légzés,Max. légzés,Stresszadatok változása,Kezdő stressz,Befejező stressz,Átl. stressz,Max. stressz,Menetidő,Eltelt idő,Minimális magasság,Maximális magasság
Futás,2024-08-09 18:31:09,false,"Bp Futás","3.40","368","01:01:34","123","167","43","198","18:06","3:31","18","19","1.29","--","--","0.0","--","4,224","--","--","Nem","00:13:35","4","--","--","--","--","--","--","--","--","00:24:57","01:01:34","97","104"
Futás,2024-08-08 19:31:50,false,"Szeged Futás","3.18","278","01:00:51","108","145","47","207","19:08","4:03","2","3","1.11","--","--","0.0","--","5,084","--","--","Nem","00:02:59.3","4","--","--","--","--","--","--","--","--","00:29:41","01:00:51","81","90"
Futás,2024-08-07 19:46:11,false,"Bp Futás","3.02","286","00:31:41","150","176","70","236","10:30","2:24","6","6","1.36","--","--","0.0","--","3,406","--","--","Nem","00:00:12.5","4","--","--","--","--","--","--","--","--","00:23:28","00:31:41","98","101"
Futás,2024-08-07 18:32:26,false,"Bp Futás","3.19","294","00:30:30","155","182","78","248","9:33","2:39","5","5","1.35","--","--","0.0","--","3,518","--","--","Nem","00:02:28.1","4","--","--","--","--","--","--","--","--","00:23:08","00:30:30","98","101"
Futás,2024-08-06 18:13:41,false,"Bp Futás","5.77","589","01:27:29","135","171","57","229","15:10","3:05","46","45","1.22","--","--","0.0","--","7,450","--","--","Nem","00:03:34.4","7","--","--","--","--","--","--","--","--","00:46:51","01:27:29","100","107"
Futás,2024-08-05 18:34:16,false,"Bp Futás","2.72","409","01:38:18","109","150","30","238","36:05","3:26","2","4","0.86","--","--","0.0","--","5,600","--","--","Nem","00:16:17","3","--","--","--","--","--","--","--","--","00:23:41","01:38:18","98","101"
Futás,2024-08-04 15:54:22,false,"Bp Futás","6.15","610","01:21:37","147","226","76","225","13:16","2:46","51","52","1.01","--","--","0.0","--","7,988","--","--","Nem","00:08:01.0","7","--","--","--","--","--","--","--","--","00:50:29","01:21:37","100","107"
Futás,2024-08-03 10:22:56,false,"Bp Futás","2.75","315","01:07:05","112","148","34","235","24:24","2:22","34","35","1.18","--","--","0.0","--","3,908","--","--","Nem","00:19:57","3","--","--","--","--","--","--","--","--","00:24:28","01:07:05","100","107"
Gyaloglás,2024-08-02 13:34:36,false,"Dömös Gyaloglás","12.64","835","03:45:05","94","136","108","186","17:48","10:16","429","529","0.52","--","--","0.0","--","19,766","--","--","Nem","03:45:05","1","--","--","--","--","--","--","--","--","02:47:47","04:46:54","430","699"
Futás,2024-08-01 18:36:10,false,"Bp Futás","4.70","504","01:17:56","130","233","49","243","16:34","3:25","55","54","1.26","--","--","0.0","--","6,056","--","--","Nem","00:09:44.7","5","--","--","--","--","--","--","--","--","00:37:55","01:17:56","101","107"
Futás,2024-07-31 18:26:23,false,"Bp Futás","5.86","650","01:38:54","133","184","54","235","16:53","2:41","31","29","1.07","--","--","0.0","--","7,514","--","--","Nem","00:02:47.3","7","--","--","--","--","--","--","--","--","00:49:33","01:38:54","100","107"
Futás,2024-07-30 18:28:05,false,"Bp Futás","3.66","507","01:22:16","128","217","53","248","22:28","1:55","47","44","0.77","--","--","0.0","--","5,976","--","--","Nem","00:06:25.0","4","--","--","--","--","--","--","--","--","00:33:12","01:22:16","100","107"
Futás,2024-07-27 16:31:08,false,"Bp Futás","4.87","432","01:05:58","144","201","72","239","13:33","2:38","51","51","1.03","--","--","0.0","--","5,248","--","--","Nem","00:10:09","5","--","--","--","--","--","--","--","--","00:41:51","01:06:10","99","107"
Futás,2024-07-26 18:32:05,false,"Bp Futás","4.44","420","01:09:26","127","228","55","235","15:39","2:44","71","69","1.17","--","--","0.0","--","6,448","--","--","Nem","00:06:51.8","5","--","--","--","--","--","--","--","--","00:40:00","01:09:26","101","157"
Futás,2024-07-24 18:28:36,false,"Bp Futás","7.92","690","01:46:03","142","222","80","227","13:23","2:32","83","83","0.94","--","--","0.0","--","11,312","--","--","Nem","00:00:08.1","9","--","--","--","--","--","--","--","--","01:09:32","01:46:03","100","107"
Futás,2024-07-23 18:45:59,false,"Bp Futás","4.69","504","01:16:20","138","184","55","241","16:18","3:16","28","31","1.14","--","--","0.0","--","6,116","--","--","Nem","00:01:30.0","6","--","--","--","--","--","--","--","--","00:34:53","01:26:56","101","108"
Futás,2024-07-22 18:29:35,false,"Bp Futás","5.48","601","01:33:47","131","185","56","248","17:06","2:21","73","73","1.00","--","--","0.0","--","7,184","--","--","Nem","00:00:58.4","7","--","--","--","--","--","--","--","--","00:42:52","01:33:47","100","126"
Futás,2024-07-20 18:02:12,false,"Bp Futás","6.32","292","01:20:07","--","--","79","211","12:40","2:36","53","54","1.01","--","--","0.0","--","8,524","--","--","Nem","00:04:41.8","7","--","--","--","--","--","--","--","--","00:52:35","01:20:07","100","136"
Futás,2024-07-19 18:42:39,false,"Bp Futás","2.85","385","01:05:03","127","172","33","238","22:52","2:40","11","10","1.34","--","--","0.0","--","3,758","--","--","Nem","00:18:26","3","--","--","--","--","--","--","--","--","00:22:52","01:05:03","100","107"
Futás,2024-07-15 18:45:15,false,"Bp Futás","3.44","587","01:23:43","136","178","41","229","24:20","3:11","23","17","0.96","--","--","0.0","--","5,010","--","--","Nem","00:09:01.7","4","--","--","--","--","--","--","--","--","00:32:40","01:23:43","99","107"
Futás,2024-07-12 18:17:39,false,"Bp Futás","4.52","520","01:09:15","141","180","63","229","15:19","2:54","20","21","1.05","--","--","0.0","--","6,422","--","--","Nem","00:05:20.3","5","--","--","--","--","--","--","--","--","00:39:31","01:09:15","100","107"
Futás,2024-07-11 09:35:49,false,"Velence - szerdai futi","3.87","223","00:20:29","169","182","159","172","5:18","4:10","15","23","1.19","--","--","0.0","--","3,216","--","--","Nem","00:00:04.4","17","--","--","--","--","--","--","--","--","00:20:14","00:20:29","104","118"
Kerékpározás,2024-07-10 12:36:56,false,"Székesfehérvár Kerékpározás","18.50","346","01:01:54","120","152","--","--","17.9","39.8","145","152","--","--","--","0.0","--","--","--","--","Nem","01:01:54","1","--","--","--","--","--","--","--","--","01:01:14","02:15:07","107","175"
Kerékpározás,2024-07-10 10:13:00,false,"Gárdony Kerékpározás","21.08","355","01:09:58","117","154","--","--","18.1","37.0","132","127","--","--","--","0.0","--","--","--","--","Nem","01:09:58","1","--","--","--","--","--","--","--","--","01:08:04","02:11:52","101","175"
Futás,2024-07-09 18:29:30,false,"Bp Futás","6.04","809","01:35:31","151","187","59","245","15:48","3:23","71","72","1.10","--","--","0.0","--","8,004","--","--","Nem","00:01:51.8","7","--","--","--","--","--","--","--","--","00:49:31","01:35:31","99","107"
Futás,2024-07-08 18:32:18,false,"Bp Futás","4.29","594","01:20:59","138","187","41","238","18:53","2:57","20","18","1.47","--","--","0.0","--","5,916","--","--","Nem","00:08:25.3","5","--","--","--","--","--","--","--","--","00:35:16","01:20:59","98","101"
Futás,2024-07-03 18:30:15,false,"Bp Futás","7.51","753","01:47:14","138","187","66","232","14:16","2:36","13","12","1.00","--","--","0.0","--","10,082","--","--","Nem","00:01:21.3","9","--","--","--","--","--","--","--","--","00:58:31","01:47:14","98","101"
Futás,2024-07-02 20:33:11,false,"Szeged Futás","1.02","94","00:14:19","121","146","55","186","13:58","2:47","0","0","1.30","--","--","0.0","--","1,352","--","--","Nem","00:00:32.4","2","--","--","--","--","--","--","--","--","00:08:33","00:14:19","65","82"
Futás,2024-07-02 19:16:29,false,"Szeged Futás","4.51","395","01:15:12","115","162","47","247","16:41","3:28","1","1","1.29","--","--","0.0","--","6,360","--","--","Nem","00:07:03.9","5","--","--","--","--","--","--","--","--","00:39:26","01:15:12","81","88"
Futás,2024-07-01 18:24:00,false,"Bp Futás","5.60","658","01:37:27","134","181","47","248","17:25","2:31","20","22","1.22","--","--","0.0","--","7,358","--","--","Nem","00:08:11.1","6","--","--","--","--","--","--","--","--","00:45:06","01:37:27","98","107"
Futás,2024-06-29 20:21:19,true,"Szeged Futás","5.88","348","00:40:01","140","150","157","162","6:49","5:57","36","36","0.93","--","--","0.0","--","6,286","--","--","Nem","00:06:07.0","6","--","--","--","--","--","--","--","--","00:39:59","00:40:01","73","81"
Futás,2024-06-27 14:13:49,false,"Szeged - realmadrid","2.27","126","00:17:00","141","177","86","205","7:30","3:17","23","23","1.75","--","--","0.0","--","1,634","--","--","Nem","00:00:10","52","--","--","--","--","--","--","--","--","00:11:56","00:17:00","75","91"
Kardió,2024-06-27 13:29:25,false,"Kardió","0.00","239","00:38:09","123","144","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","Nem","00:38:09","1","--","--","--","--","--","--","--","--","00:00:00","00:38:09","--","--"
Futás,2024-06-26 18:56:28,false,"Szeged Futás","4.00","477","01:03:57","139","166","51","235","16:00","3:20","5","4","1.23","--","--","0.0","--","5,452","--","--","Nem","00:04:34.2","5","--","--","--","--","--","--","--","--","00:32:27","01:03:57","81","84"
Erősítő edzés,2024-06-25 20:39:39,false,"Súlyzózás","0.00","174","00:50:39","94","128","--","--","--","--","--","--","--","--","--","0.0","--","12","6","1","Nem","00:50:39","1","--","--","--","--","--","--","--","--","00:50:39","00:50:39","--","--"
