id,competitionid,competitionname,seasonid,seasonname,matchid,matchname,matchdate,timemin,timesec,contestantid,contestantname,playerid,playername,eventname,openplaypass,tackle,shot,shotontarget,goal,expectedgoals,x,y
2570980571,47s2kt0e8m444ftqvsrqa3bvq,NB I,2rxhactrfdzbz0b9lu2dsa4no,2023/2024,cjyb58dp1w6hqs2kz914r1afo,MTK vs Paks,2023-07-28 00:00:00,14,24,e86hbyj6fwyumuwoiaglh33r5,Paksi FC,d0k18c99fhtip8dht8ld5ozfu,B. Szabó,Miss,0,0,1,0,0,0.018945854,83.37,48.96
2570982343,47s2kt0e8m444ftqvsrqa3bvq,NB I,2rxhactrfdzbz0b9lu2dsa4no,2023/2024,cjyb58dp1w6hqs2kz914r1afo,MTK vs Paks,2023-07-28 00:00:00,19,25,e86hbyj6fwyumuwoiaglh33r5,Paksi FC,7r01ng2rpxalsekh4qhv1xhp1,N. Könyves,Miss,0,0,1,0,0,0.004797947,77.91,20.06
2570982745,47s2kt0e8m444ftqvsrqa3bvq,NB I,2rxhactrfdzbz0b9lu2dsa4no,2023/2024,cjyb58dp1w6hqs2kz914r1afo,MTK vs Paks,2023-07-28 00:00:00,20,42,e86hbyj6fwyumuwoiaglh33r5,Paksi FC,7r01ng2rpxalsekh4qhv1xhp1,N. Könyves,Attempt Saved,0,0,1,0,0,0.027994109,84.42,44.81
2570983011,47s2kt0e8m444ftqvsrqa3bvq,NB I,2rxhactrfdzbz0b9lu2dsa4no,2023/2024,cjyb58dp1w6hqs2kz914r1afo,MTK vs Paks,2023-07-28 00:00:00,21,42,e86hbyj6fwyumuwoiaglh33r5,Paksi FC,gqtv93xu0ej0u7eru4ta8ted,Á. Kinyik,Miss,0,0,1,0,0,0.077407301,96.39,33.05
2570983459,47s2kt0e8m444ftqvsrqa3bvq,NB I,2rxhactrfdzbz0b9lu2dsa4no,2023/2024,cjyb58dp1w6hqs2kz914r1afo,MTK vs Paks,2023-07-28 00:00:00,23,15,ad5l7of8nxlt7c7uyf5pjiy14,MTK Budapest,u7twvm3u037gv8xpna09de96,D. Zsóri,Miss,0,0,1,0,0,0.026232887,92.51,30.33
2570984313,47s2kt0e8m444ftqvsrqa3bvq,NB I,2rxhactrfdzbz0b9lu2dsa4no,2023/2024,cjyb58dp1w6hqs2kz914r1afo,MTK vs Paks,2023-07-28 00:00:00,25,51,ad5l7of8nxlt7c7uyf5pjiy14,MTK Budapest,u7twvm3u037gv8xpna09de96,D. Zsóri,Attempt Saved,0,0,1,0,0,0.186684892,99.44,33.73
2570984693,47s2kt0e8m444ftqvsrqa3bvq,NB I,2rxhactrfdzbz0b9lu2dsa4no,2023/2024,cjyb58dp1w6hqs2kz914r1afo,MTK vs Paks,2023-07-28 00:00:00,27,0,ad5l7of8nxlt7c7uyf5pjiy14,MTK Budapest,7gap8u35ldilqjgdfk4b29uui,M. Kata,Attempt Saved,0,0,1,0,0,0.023440041,83.16,27.88
2570985409,47s2kt0e8m444ftqvsrqa3bvq,NB I,2rxhactrfdzbz0b9lu2dsa4no,2023/2024,cjyb58dp1w6hqs2kz914r1afo,MTK vs Paks,2023-07-28 00:00:00,29,24,ad5l7of8nxlt7c7uyf5pjiy14,MTK Budapest,6ht89hwb1cmt16qhmvb5kvumt,N. Antonov,Attempt Saved,0,0,1,0,0,0.018101845,78.23,49.44
2570985713,47s2kt0e8m444ftqvsrqa3bvq,NB I,2rxhactrfdzbz0b9lu2dsa4no,2023/2024,cjyb58dp1w6hqs2kz914r1afo,MTK vs Paks,2023-07-28 00:00:00,30,34,ad5l7of8nxlt7c7uyf5pjiy14,MTK Budapest,1eltcaof2l3k8ynctmubc43x1,K. Németh,Miss,0,0,1,0,0,0.009263233,77.18,50.25
2570986477,47s2kt0e8m444ftqvsrqa3bvq,NB I,2rxhactrfdzbz0b9lu2dsa4no,2023/2024,cjyb58dp1w6hqs2kz914r1afo,MTK vs Paks,2023-07-28 00:00:00,32,19,e86hbyj6fwyumuwoiaglh33r5,Paksi FC,7r01ng2rpxalsekh4qhv1xhp1,N. Könyves,Miss,0,0,1,0,0,0.015688127,95.55,17.54
2570988563,47s2kt0e8m444ftqvsrqa3bvq,NB I,2rxhactrfdzbz0b9lu2dsa4no,2023/2024,cjyb58dp1w6hqs2kz914r1afo,MTK vs Paks,2023-07-28 00:00:00,36,16,ad5l7of8nxlt7c7uyf5pjiy14,MTK Budapest,1eltcaof2l3k8ynctmubc43x1,K. Németh,Attempt Saved,0,0,1,1,0,0.030013843,80.75,30.87
