1,2023-07-28,20:00,MTK Budapest,1-1,Paks,2223
1,2023-07-29,18:00,Diósgyõr,0-1,Puskás,7579
1,2023-07-29,20:15,Újpest,2-1,Vidi,5086
1,2023-07-30,20:00,Zalaegerszeg,0-2,Kisvárda,2314
1,2023-07-31,20:00,Debrecen,3-1,Mezõkövesd,4844
2,2023-08-04,20:00,Puskás,3-3,Újpest,3500
2,2023-08-05,17:45,Mezõkövesd,2-4,Diósgyõr,3915
2,2023-08-06,17:45,Vidi,3-5,Ferencváros,7051
2,2023-08-06,20:00,Zalaegerszeg,2-1,MTK Budapest,1823
2,2023-08-07,20:00,Kecskemét,3-1,Kisvárda,2523
3,2023-08-11,20:00,MTK Budapest,0-0,Kisvárda,1979
3,2023-08-12,18:00,Újpest,1-1,Mezõkövesd,5115
3,2023-08-12,20:15,Diósgyõr,1-1,Paks,6649
3,2023-08-13,16:30,Debrecen,1-0,Zalaegerszeg,5011
3,2023-08-13,18:45,Ferencváros,1-2,Puskás,10527
3,2023-08-13,21:00,Kecskemét,1-0,Vidi,3487
4,2023-08-18,18:00,Puskás,2-2,Vidi,3102
4,2023-08-18,20:15,Zalaegerszeg,1-3,Diósgyõr,2792
4,2023-08-19,17:45,MTK Budapest,1-0,Kecskemét,2319
4,2023-08-19,20:00,Paks,3-0,Újpest,3076
4,2023-08-21,20:15,Debrecen,4-1,Kisvárda,4011
5,2023-08-26,15:30,Kecskemét,4-1,Puskás,2786
5,2023-08-26,17:45,Diósgyõr,2-0,Kisvárda,6651
5,2023-08-26,20:00,Újpest,2-1,Zalaegerszeg,4003
5,2023-08-27,15:30,Debrecen,1-3,MTK Budapest,4114
5,2023-08-27,17:30,Ferencváros,6-1,Paks,7657
5,2023-08-27,19:30,Vidi,2-0,Mezõkövesd,3217
6,2023-09-01,20:00,Újpest,3-2,Kisvárda,398
6,2023-09-02,15:15,MTK Budapest,2-1,Diósgyõr,3679
6,2023-09-02,19:30,Paks,2-0,Vidi,2411
6,2023-09-03,14:15,Mezõkövesd,1-3,Puskás,1800
6,2023-09-03,17:15,Zalaegerszeg,2-6,Ferencváros,5313
6,2023-09-03,19:30,Debrecen,2-0,Kecskemét,4521
7,2023-09-22,20:00,Kecskemét,0-2,Mezõkövesd,3647
7,2023-09-23,14:30,Puskás,0-2,Paks,1510
7,2023-09-23,17:00,Diósgyõr,3-1,Debrecen,9518
7,2023-09-23,19:30,Újpest,0-2,MTK Budapest,4561
7,2023-09-24,15:00,Vidi,3-3,Zalaegerszeg,2656
7,2023-09-24,17:30,Ferencváros,1-0,Kisvárda,8127
2,2023-09-27,17:45,Paks,2-0,Debrecen,1890
1,2023-09-27,20:00,Ferencváros,1-0,Kecskemét,7299
8,2023-09-29,20:00,Zalaegerszeg,1-1,Puskás,2872
8,2023-09-30,14:30,Paks,2-1,Mezõkövesd,1834
8,2023-09-30,17:00,MTK Budapest,1-6,Ferencváros,5322
8,2023-09-30,19:30,Debrecen,1-2,Újpest,6645
8,2023-10-01,15:00,Vidi,3-1,Kisvárda,2272
8,2023-10-01,17:30,Diósgyõr,3-1,Kecskemét,7292
9,2023-10-06,20:30,Puskás,1-0,Kisvárda,1115
9,2023-10-07,12:45,Mezõkövesd,1-2,Zalaegerszeg,1597
9,2023-10-07,16:15,Újpest,2-0,Diósgyõr,7188
9,2023-10-07,20:30,Kecskemét,1-1,Paks,3785
9,2023-10-08,13:00,Vidi,3-0,MTK Budapest,3136
9,2023-10-08,16:30,Ferencváros,2-2,Debrecen,12793
10,2023-10-21,12:30,Kisvárda,2-1,Mezõkövesd,2150
10,2023-10-21,14:45,Zalaegerszeg,2-5,Paks,3277
10,2023-10-21,17:00,Újpest,5-3,Kecskemét,5732
10,2023-10-22,13:15,MTK Budapest,0-5,Puskás,2625
10,2023-10-22,15:30,Debrecen,3-1,Vidi,5870
10,2023-10-22,17:45,Diósgyõr,1-2,Ferencváros,12178
11,2023-10-28,12:30,Kecskemét,3-1,Zalaegerszeg,2487
11,2023-10-28,14:45,Vidi,4-0,Diósgyõr,3096
11,2023-10-28,17:00,Puskás,1-1,Debrecen,1721
11,2023-10-29,13:15,Mezõkövesd,1-0,MTK Budapest,1791
11,2023-10-29,15:30,Paks,3-1,Kisvárda,2078
11,2023-10-29,18:00,Ferencváros,3-0,Újpest,20357
12,2023-11-04,12:30,Mezõkövesd,2-1,Debrecen,2119
12,2023-11-04,15:45,Puskás,0-0,Diósgyõr,1680
12,2023-11-04,18:00,Vidi,2-1,Újpest,4990
12,2023-11-05,12:30,Kisvárda,0-1,Zalaegerszeg,1820
12,2023-11-05,14:45,Kecskemét,2-1,Ferencváros,4957
12,2023-11-05,18:30,Paks,0-0,MTK Budapest,1824
13,2023-11-10,20:00,MTK Budapest,2-0,Zalaegerszeg,1923
13,2023-11-11,14:15,Diósgyõr,2-0,Mezõkövesd,6821
13,2023-11-11,19:30,Újpest,1-2,Puskás,4187
13,2023-11-12,13:30,Kisvárda,1-2,Kecskemét,2141
13,2023-11-12,16:00,Ferencváros,0-1,Vidi,11007
13,2023-11-12,18:30,Debrecen,1-0,Paks,4144
14,2023-11-24,20:00,Paks,4-1,Diósgyõr,1712
14,2023-11-25,14:45,Kisvárda,3-1,MTK Budapest,1890
14,2023-11-25,17:00,Zalaegerszeg,1-2,Debrecen,1914
14,2023-11-25,19:30,Mezõkövesd,4-0,Újpest,1896
14,2023-11-26,17:00,Puskás,1-1,Ferencváros,3525
14,2023-11-26,19:30,Vidi,3-3,Kecskemét,1752
15,2023-12-02,13:00,Kecskemét,1-2,MTK Budapest,1824
15,2023-12-02,15:30,Vidi,3-1,Puskás,2172
15,2023-12-02,19:30,Kisvárda,0-0,Debrecen,2050
15,2023-12-03,12:45,Újpest,1-2,Paks,3078
15,2023-12-03,15:15,Diósgyõr,0-3,Zalaegerszeg,3652
15,2023-12-03,17:45,Ferencváros,0-0,Mezõkövesd,6127
4,2023-12-06,19:30,Mezõkövesd,0-2,Ferencváros,2216
16,2023-12-08,20:00,Puskás,3-0,Kecskemét,1000
16,2023-12-09,13:15,MTK Budapest,2-1,Debrecen,2000
16,2023-12-09,15:45,Zalaegerszeg,1-1,Újpest,1755
16,2023-12-10,13:00,Kisvárda,1-2,Diósgyõr,1841
16,2023-12-10,15:30,Mezõkövesd,0-2,Vidi,1527
16,2023-12-10,18:00,Paks,3-2,Ferencváros,4201
17,2023-12-16,12:30,Vidi,3-0,Paks,4078
17,2023-12-16,15:00,Kisvárda,4-0,Újpest,1815
17,2023-12-16,17:30,Diósgyõr,3-3,MTK Budapest,3412
17,2023-12-17,13:30,Kecskemét,1-1,Debrecen,2231
17,2023-12-17,16:00,Ferencváros,3-0,Zalaegerszeg,7017
17,2023-12-17,18:00,Puskás,0-0,Mezõkövesd,800
18,2024-02-02,20:00,MTK Budapest,3-0,Újpest,3525
18,2024-02-03,12:30,Zalaegerszeg,3-1,Vidi,2479
18,2024-02-03,15:00,Kisvárda,1-3,Ferencváros,3150
18,2024-02-03,17:30,Debrecen,2-2,Diósgyõr,5841
18,2024-02-04,15:00,Mezõkövesd,0-3,Kecskemét,1950
18,2024-02-04,17:30,Paks,2-1,Puskás,2001
19,2024-02-06,17:45,Újpest,1-2,Debrecen,2610
19,2024-02-06,20:00,Ferencváros,5-1,MTK Budapest,7014
19,2024-02-07,17:45,Kisvárda,1-2,Vidi,
19,2024-02-07,20:00,Puskás,0-1,Zalaegerszeg,1234
